longitude,latitude,magnitude
-120.30,36.00,6.4
-121.54,37.24,5.5
-121.48,37.18,5.5
-122.30,37.42,8.3
-124.00,41.00,6.4
-117.60,34.12,5.3
-117.00,36.00,6.0
-124.12,40.30,5.8
-121.48,36.54,5.8
-125.00,40.00,6.0
-117.24,33.42,5.5
-121.45,37.15,6.5
-126.00,40.00,6.2
-126.00,41.00,6.5
-118.54,34.54,5.3
-116.00,35.30,6.1
-117.00,33.48,6.9
-125.00,41.00,6.5
-126.00,41.00,6.0
-125.30,41.00,7.3
-120.30,36.00,6.3
-124.30,40.30,7.2
-117.18,34.00,6.0
-125.00,41.30,6.0
-119.48,34.18,6.3
-122.21,36.37,6.1
-122.11,36.33,6.1
-126.00,40.45,6.0
-118.45,37.30,6.0
-120.48,34.52,7.3
-124.30,40.45,6.4
-117.58,33.37,6.3
-120.30,36.00,6.0
-125.45,41.15,6.5
-125.30,40.00,5.9
-116.16,33.24,6.0
-121.15,39.45,6.0
-125.24,40.42,6.6
-126.24,40.18,6.0
-119.35,34.22,5.9
-118.44,37.34,5.8
-118.44,37.34,6.0
-124.48,40.24,6.4
-116.50,33.30,6.5
-126.54,40.24,6.2
-126.42,41.54,6.0
-118.30,35.44,6.3
-116.33,34.59,6.4
-116.23,33.56,6.5
-126.00,41.18,6.2
-115.41,34.10,5.9
-124.30,40.15,6.0
-119.10,35.00,7.7
-119.00,35.00,6.4
-118.35,35.22,6.1
-118.51,35.23,6.1
-121.12,35.44,6.0
-119.10,35.00,5.9
-116.11,33.17,6.2
-125.38,40.16,6.5
-123.47,40.56,6.6
-125.46,40.40,6.0
-127.40,40.19,6.2
-120.30,36.00,6.0
-120.90,39.25,6.0
-116.80,33.11,6.5
-124.16,40.14,5.4
-118.24,34.25,6.5
-119.20,34.40,5.2
-125.42,41.18,6.3
-121.31,37.70,5.7
-121.47,37.50,5.8
-118.50,37.36,6.1
-118.54,37.39,5.9
-118.49,37.33,5.8
-118.48,37.29,6.0
-124.40,41.70,7.2
-115.39,33.80,6.0
-119.70,33.40,5.9
-118.52,37.35,5.8
-120.19,36.14,6.5
-120.25,36.14,5.7
-121.39,37.19,6.1
-127.90,40.23,6.7
-118.36,37.27,5.7
-120.10,36.80,5.9
-116.36,34.00,6.0
-118.26,37.34,5.6
-118.26,37.32,6.2
-118.22,37.28,5.2
-115.47,34.30,5.8
-115.47,33.40,6.2
-115.51,33.10,6.6
-121.53,37.22,7.1
-125.52,41.38,6.3
-124.14,40.17,6.2
-126.30,41.41,7.1
-116.19,33.58,6.1
-124.14,40.20,7.2
-124.36,40.26,6.5
-124.35,40.23,6.6
-116.26,34.12,7.3
-116.50,34.12,6.2
-118.32,34.13,6.7
-125.54,40.27,6.9
-125.54,40.37,6.6
-117.38,35.46,5.5
-125.55,41.47,5.7
-124.24,40.16,5.7
-116.16,34.35,7.1
-125.17,40.23,5.9
